omega,delta_chi2
2.888728728728729322e+01,8.919503408139300760e+00
2.896426426426426914e+01,6.351480604644764050e+00
2.904124124124124506e+01,4.099580286729157308e+00
2.911821821821822454e+01,2.288197394488419079e+00
2.919519519519520045e+01,9.991980233229039721e-01
2.927217217217217637e+01,2.688424835675349844e-01
2.934914914914915585e+01,9.017216523551664642e-02
2.942612612612613177e+01,4.191405197702758878e-01
2.950310310310310769e+01,1.182529152496405001e+00
2.958008008008008360e+01,2.286008537944146823e+00
2.965705705705706308e+01,3.621368689708856614e+00
2.973403403403403900e+01,5.072704095420792925e+00
2.981101101101101492e+01,6.521952253622097295e+00
2.988798798798799439e+01,7.854482882180749748e+00
2.996496496496497031e+01,8.965341190485380807e+00
3.004194194194194623e+01,9.766305078584087696e+00
3.011891891891892570e+01,1.019327108825905093e+01
3.019589589589590162e+01,1.021285978862259647e+01
3.027287287287287754e+01,9.826770866360334367e+00
3.034984984984985346e+01,9.072510829772232555e+00
3.042682682682683293e+01,8.019714388237545677e+00
3.050380380380380885e+01,6.762243715261370802e+00
3.058078078078078477e+01,5.407266140370277085e+00
3.065775775775776424e+01,4.063216360276575401e+00
3.073473473473474016e+01,2.828695083830723878e+00
3.081171171171171608e+01,1.783925397658708611e+00
3.088868868868869555e+01,9.855901976372307693e-01
3.096566566566567147e+01,4.650249136389061899e-01
3.104264264264264739e+01,2.291128775807328988e-01
3.111961961961962331e+01,2.629598883586379832e-01
3.119659659659660278e+01,5.334909895452675244e-01
3.127357357357357870e+01,9.933929692972385261e-01
3.135055055055055462e+01,1.585161546758199647e+00
3.142752752752753409e+01,2.245266250318490364e+00
3.150450450450451001e+01,2.908540475132624259e+00
3.158148148148148593e+01,3.512829887037045573e+00
3.165845845845846540e+01,4.003738624881158614e+00
3.173543543543544132e+01,4.339084381218250464e+00
3.181241241241241724e+01,4.492503138238637561e+00
3.188938938938939316e+01,4.455607600026461057e+00
3.196636636636637263e+01,4.238237577159068792e+00
3.204334334334334500e+01,3.866630585384430052e+00
3.212032032032032447e+01,3.379716993454993990e+00
3.219729729729730394e+01,2.824099477213971809e+00
3.227427427427427631e+01,2.248504481669670874e+00
3.235125125125125578e+01,1.698529462711636517e+00
3.242822822822823525e+01,1.212358290594085064e+00
3.250520520520520762e+01,8.178464745978912820e-01
3.258218218218218709e+01,5.310858743814403926e-01
3.265915915915916656e+01,3.563300546411798941e-01
3.273613613613613893e+01,2.870374143427013580e-01
3.281311311311311840e+01,3.077611466903212301e-01
3.289009009009009077e+01,3.966411840146388257e-01
3.296706706706707024e+01,5.282848777059452328e-01
3.304404404404404971e+01,6.768278569269823297e-01
3.312102102102102208e+01,8.189395418777538627e-01
3.319799799799800155e+01,9.364995247118448329e-01
3.327497497497498102e+01,1.018654095102808244e+00
3.335195195195195339e+01,1.062994848170970563e+00
3.342892892892893286e+01,1.075694015855058305e+00
3.350590590590591233e+01,1.070571036304428514e+00
3.358288288288288470e+01,1.067219843504529697e+00
3.365985985985986417e+01,1.088457059250069747e+00
3.373683683683684364e+01,1.157426099926855745e+00
3.381381381381381601e+01,1.294699389546529966e+00
3.389079079079079548e+01,1.515672244452332507e+00
3.396776776776777496e+01,1.828466634109735534e+00
3.404474474474474732e+01,2.232493231317387306e+00
3.412172172172172679e+01,2.717776219429675066e+00
3.419869869869870627e+01,3.265126059097781308e+00
3.427567567567567863e+01,3.847229267021059940e+00
3.435265265265265811e+01,4.430680659671264010e+00
3.442962962962963047e+01,4.978889886105392293e+00
3.450660660660660994e+01,5.455650890722755442e+00
3.458358358358358942e+01,5.828999742628626635e+00
3.466056056056056178e+01,6.074854751980820922e+00
3.473753753753754125e+01,6.179888477537678781e+00
3.481451451451452073e+01,6.143160203923548224e+00
3.489149149149149309e+01,5.976237991604278932e+00
3.496846846846847257e+01,5.701817020565139060e+00
3.504544544544545204e+01,5.351120633321577280e+00
3.512242242242243151e+01,4.960571944561025681e+00
3.519939939939940388e+01,4.568290240748693165e+00
3.527637637637638335e+01,4.210884956824164860e+00
3.535335335335336282e+01,3.920827411077928204e+00
3.543033033033033519e+01,3.724450394784281304e+00
3.550730730730731466e+01,3.640443570250298411e+00
3.558428428428428703e+01,3.678645467315885043e+00
3.566126126126126650e+01,3.839004496264358579e+00
3.573823823823824597e+01,4.110761750843402673e+00
3.581521521521521834e+01,4.472121615039009512e+00
3.589219219219219781e+01,4.890825461881105340e+00
3.596916916916917728e+01,5.326044634711978532e+00
3.604614614614614965e+01,5.731821134959696806e+00
3.612312312312312912e+01,6.061932280250503347e+00
3.620010010010010859e+01,6.275629894418001342e+00
3.627707707707708096e+01,6.343341579546863507e+00
3.635405405405406043e+01,6.251259244167546747e+00
3.643103103103103990e+01,6.003863355411555247e+00
3.650800800800801227e+01,5.623830074806739354e+00
3.658498498498499174e+01,5.149331357343440274e+00
3.666196196196197121e+01,4.629292845108794019e+00
3.673893893893894358e+01,4.117554813239476807e+00
3.681591591591592305e+01,3.666988970078605803e+00
3.689289289289290252e+01,3.324455222157013612e+00
3.696986986986987489e+01,3.127118159024671495e+00
