omega,delta_chi2
2.195935935935936456e+01,1.868887578514424064e+01
2.203633633633634048e+01,2.375106540631909624e+01
2.211331331331331640e+01,2.914970995276236110e+01
2.219029029029029587e+01,3.464557799343504740e+01
2.226726726726727179e+01,3.999322777395428119e+01
2.234424424424424771e+01,4.495299580657162153e+01
2.242122122122122363e+01,4.930066836645121242e+01
2.249819819819820310e+01,5.283520287314566843e+01
2.257517517517517902e+01,5.538564192411780596e+01
2.265215215215215494e+01,5.681847680615502583e+01
2.272912912912913441e+01,5.704616221590252678e+01
2.280610610610611033e+01,5.603648602840785031e+01
2.288308308308308625e+01,5.382140395625816609e+01
2.296006006006006572e+01,5.050310896808564110e+01
2.303703703703704164e+01,4.625480257164325337e+01
2.311401401401401756e+01,4.131405867777101548e+01
2.319099099099099703e+01,3.596788102279352017e+01
2.326796796796797295e+01,3.053040210031396740e+01
2.334494494494494887e+01,2.531621021345462452e+01
2.342192192192192479e+01,2.061381605477009415e+01
2.349889889889890426e+01,1.666406416731951978e+01
2.357587587587588018e+01,1.364702174067702956e+01
2.365285285285285610e+01,1.167836790249819856e+01
2.372982982982983557e+01,1.081349166029588993e+01
2.380680680680681149e+01,1.105549204325157753e+01
2.388378378378378741e+01,1.236281830943953253e+01
2.396076076076076689e+01,1.465348847472225202e+01
2.403773773773774280e+01,1.780513315157204346e+01
2.411471471471471872e+01,2.165259716656075994e+01
2.419169169169169464e+01,2.598653678616164342e+01
2.426866866866867412e+01,3.055674104038131844e+01
2.434564564564565003e+01,3.508270963626749506e+01
2.442262262262262595e+01,3.927184754747133155e+01
2.449959959959960543e+01,4.284332800973946576e+01
2.457657657657658135e+01,4.555399812186205821e+01
2.465355355355355726e+01,4.722204086655892752e+01
2.473053053053053674e+01,4.774443827291408127e+01
2.480750750750751266e+01,4.710535978247529698e+01
2.488448448448448858e+01,4.537417520714620878e+01
2.496146146146146449e+01,4.269364625181510320e+01
2.503843843843844397e+01,3.926070066611369924e+01
2.511541541541541989e+01,3.530360697093026090e+01
2.519239239239239581e+01,3.105986309979892113e+01
2.526936936936937528e+01,2.675841716180683960e+01
2.534634634634635120e+01,2.260812302789481620e+01
2.542332332332332712e+01,1.879220847986473331e+01
2.550030030030030659e+01,1.546678560733405483e+01
2.557727727727728251e+01,1.276066266010194283e+01
