name,amplitude,phase,omega,scale,bins,generator,injected,trial,degree,recovered_omega,recovered_amplitude,search_score
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,53,12,63.834834834834844,0.04607098330445562,13.272760467000012
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,54,7,62.06436436436437,0.08472033529405713,8.204361658549544
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,54,12,62.06436436436437,0.07623627055476456,8.176092295564104
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,55,7,30.349849849849853,0.06815258312754856,5.849129922772022
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,55,12,30.349849849849853,0.06236460419869669,5.954526086508537
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,56,7,31.73543543543544,0.20384056914202522,11.89659649775831
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,56,12,49.28618618618619,0.04462980417110692,10.072616416378281
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,57,7,59.90900900900902,0.15647420930173428,9.47887645043403
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,57,12,13.799799799799802,0.12648589223422474,9.031880345001866
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,58,7,6.179079079079079,0.15536102598010437,10.92352235817549
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,58,12,68.68438438438439,0.08658187086414748,7.497854904738915
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,59,7,60.755755755755764,0.1800532017994106,12.824554121262565
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,59,12,60.755755755755764,0.06582106000130715,11.820824316770143
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,60,7,68.45345345345346,0.1048722314248087,11.62203902591213
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,60,12,68.45345345345346,0.06040081488234105,11.874628571987188
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,61,7,73.6878878878879,0.07522813987382725,11.319180659075357
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,61,12,73.6878878878879,0.024821226042086336,12.455358535196012
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,62,7,27.732632632632637,0.04922380003543887,12.32154287440386
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,62,12,27.732632632632637,0.05023363518436016,12.610367223682829
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,63,7,42.5891891891892,0.07786573264507184,11.481038586865054
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,63,12,42.43523523523524,0.04480692411177888,10.996198479383395
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,64,7,58.60040040040041,0.16026126865211388,9.032093376194382
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,64,12,58.60040040040041,0.10140246943955278,8.829585629239716
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,65,7,44.82152152152153,0.01281341342835141,12.28188212474032
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,65,12,44.82152152152153,0.023770908111843507,12.991320069468031
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,66,7,57.52272272272273,0.12287091455592504,9.657531985207925
