label,variant,model,candidate,analysis_bins,background_fit_bins,residual_rms,residual_max_abs,fixed_omega_amplitude,fixed_omega_phase,fixed_omega_delta_chi2,phase_offset_from_prediction,locked_signed_amplitude,locked_delta_chi2,locked_local_p_one_sided,positive_sign
H2,log_400_shift0.25,spline_s1,"{'name': 'spline_s1', 'family': 'spline', 'degree': 7, 'spline_smoothing_factor': 1.0}",327,327,1.0145388018769315,3.1611383320634725,0.011255711490581506,-2.152699070316801,0.0203477967062895,-1.9213073850235831,-0.0030718017209110378,0.0,1.0,False
H2,log_400_shift0.25,spline_s2,"{'name': 'spline_s2', 'family': 'spline', 'degree': 7, 'spline_smoothing_factor': 2.0}",327,314,1.7831826006504081,9.870753770880617,1.0720514676248136,0.09940849088865737,169.6672879646777,0.3308001761818753,0.9878024036277973,149.15617846791338,1.325477628037127e-34,True
H2,log_400_shift0.5,cheb_d7,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",330,322,1.623674313015159,8.743222574299027,0.9007246247714867,-0.3080410439943989,127.35865880858466,-0.076649358701181,0.9034181306210602,126.54848665145198,1.166165840175445e-29,True
H2,log_400_shift0.5,cheb_d12,"{'name': 'cheb_d12', 'family': 'chebyshev', 'degree': 12, 'spline_smoothing_factor': 1.0}",330,330,1.0811300481334043,2.9317195845217814,0.07876826433645216,-2.4502650555552203,0.9541600305871043,-2.2188733702620023,-0.042688561138322596,0.0,1.0,False
H2,log_400_shift0.5,spline_s1,"{'name': 'spline_s1', 'family': 'spline', 'degree': 7, 'spline_smoothing_factor': 1.0}",330,330,1.0145607538318906,2.925826504424618,0.011832762985113194,-0.09560017806181863,0.021300381072478558,0.13579150723139927,0.011599860155527003,0.020863389151713818,0.44257586634823437,True
H2,log_400_shift0.5,spline_s2,"{'name': 'spline_s2', 'family': 'spline', 'degree': 7, 'spline_smoothing_factor': 2.0}",330,323,1.7197269299733926,9.029757195594621,1.034170268165321,0.053102255927297816,160.27844418938537,0.28449394122051574,0.9701355905706637,145.9298804408595,6.7241955281435175e-34,True
H2,log_400_shift0.75,cheb_d7,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",330,321,1.7449903493405912,11.763996714125817,0.9394366629347596,-0.2361401118349976,136.39894067714874,-0.004748426541779704,0.9397663469595804,136.3955454152665,8.174588130927299e-32,True
H2,log_400_shift0.75,cheb_d12,"{'name': 'cheb_d12', 'family': 'chebyshev', 'degree': 12, 'spline_smoothing_factor': 1.0}",330,330,1.0438326475847048,2.981398339688948,0.10094764932752287,-2.5697907629111763,1.5439763532190227,-2.338399077617958,-0.06455828175114361,0.0,1.0,False
H2,log_400_shift0.75,spline_s1,"{'name': 'spline_s1', 'family': 'spline', 'degree': 7, 'spline_smoothing_factor': 1.0}",330,330,1.0140913344410725,2.9319768193621645,0.013422814901369599,-1.3978022007245638,0.03196278199078506,-1.166410515431346,0.006222580339895282,0.005980003443085025,0.46918032119569836,True
H2,log_400_shift0.75,spline_s2,"{'name': 'spline_s2', 'family': 'spline', 'degree': 7, 'spline_smoothing_factor': 2.0}",330,320,1.9225168132742019,12.625077659552035,1.1000039718139303,0.1266329511847765,180.05530848864305,0.35802463647799443,1.0008498673439925,154.70283803376333,8.130236505301726e-36,True
