folds,block,winner,name,family,degree,spline_smoothing_factor,a_failed,b_failed,failed,a_total_poisson_deviance,b_total_poisson_deviance,a_deviance_per_bin,b_deviance_per_bin,combined_validation_bins,combined_total_poisson_deviance,combined_deviance_per_bin
5,4,cheb_d12,cheb_d10,chebyshev,10,1.0,,,,546.5190257212172,554.4544816473226,1.9042474763805477,1.931897148596943,574,1100.9735073685397,1.918072312488745
5,4,cheb_d12,cheb_d11,chebyshev,11,1.0,,,,494.9648459681943,536.8589698246483,1.7246161880424888,1.8705887450336176,574,1031.8238157928427,1.7976024665380534
5,4,cheb_d12,cheb_d12,chebyshev,12,1.0,,,,425.9785882354336,555.1908233925415,1.4842459520398383,1.934462799277148,574,981.169411627975,1.709354375658493
5,4,cheb_d12,bernstein_d5,bernstein,5,1.0,,,,878.2425867041518,1056.5590315381546,3.060078699317602,3.6813903537914796,574,1934.8016182423064,3.370734526554541
5,4,cheb_d12,bernstein_d7,bernstein,7,1.0,,,,959.8862288564878,1058.7574559091145,3.344551320057449,3.6890503690213046,574,2018.6436847656023,3.516800844539377
5,4,cheb_d12,bernstein_d9,bernstein,9,1.0,,,,484.4616180352675,580.4093944285438,1.6880195750357754,2.022332384768445,574,1064.8710124638114,1.8551759799021106
5,4,cheb_d12,bernstein_d12,bernstein,12,1.0,,,,425.9785882354549,555.1908233925328,1.4842459520399125,1.934462799277118,574,981.1694116279878,1.7093543756585152
5,4,cheb_d12,spline_s0.5,spline,7,0.5,,,,1188.3799537612724,4796.984340071862,4.140696703000949,16.714231150076174,574,5985.364293833134,10.427463926538561
5,4,cheb_d12,spline_s1,spline,7,1.0,,,,443.39190785423153,10328.83048873994,1.5449195395617823,35.98895640675938,574,10772.222396594172,18.76693797316058
5,4,cheb_d12,spline_s2,spline,7,2.0,,,,933.6267576473194,959.876569119016,3.2530549046944928,3.344517662435596,574,1893.5033267663355,3.2987862835650446
5,8,cheb_d12,cheb_d5,chebyshev,5,1.0,,,,1141.309389170884,1374.638454514576,3.9766877671459375,4.789681026183192,574,2515.94784368546,4.383184396664565
5,8,cheb_d12,cheb_d6,chebyshev,6,1.0,,,,1011.1316432033525,1075.4644316037768,3.5231067707433885,3.7472628278877242,574,2086.5960748071293,3.635184799315556
5,8,cheb_d12,cheb_d7,chebyshev,7,1.0,,,,1226.7936521084757,1372.3893458601183,4.274542341841379,4.781844410662433,574,2599.182997968594,4.528193376251906
5,8,cheb_d12,cheb_d8,chebyshev,8,1.0,,,,747.9634473343618,946.2951545937458,2.60614441579917,3.297195660605386,574,1694.2586019281075,2.951670038202278
5,8,cheb_d12,cheb_d9,chebyshev,9,1.0,,,,542.5487885509515,768.4019283333391,1.8904138973900748,2.677358635307802,574,1310.9507168842906,2.2838862663489383
5,8,cheb_d12,cheb_d10,chebyshev,10,1.0,,,,799.3467419841127,599.0911804263335,2.785180285658929,2.087425715771197,574,1398.4379224104462,2.436303000715063
5,8,cheb_d12,cheb_d11,chebyshev,11,1.0,,,,1175.5020412556491,791.3062970687848,4.095825927720032,2.757164798149076,574,1966.8083383244339,3.4264953629345536
5,8,cheb_d12,cheb_d12,chebyshev,12,1.0,,,,622.12900070871,559.677733028828,2.167696866580871,1.950096630762467,574,1181.806733737538,2.058896748671669
5,8,cheb_d12,bernstein_d5,bernstein,5,1.0,,,,1141.3093891708936,1374.6384545145681,3.976687767145971,4.789681026183164,574,2515.9478436854615,4.383184396664567
5,8,cheb_d12,bernstein_d7,bernstein,7,1.0,,,,1226.79365210847,1372.3893458601203,4.274542341841359,4.7818444106624405,574,2599.1829979685904,4.5281933762519
5,8,cheb_d12,bernstein_d9,bernstein,9,1.0,,,,542.5487885509551,768.4019283333417,1.8904138973900875,2.677358635307811,574,1310.950716884297,2.2838862663489494
5,8,cheb_d12,bernstein_d12,bernstein,12,1.0,,,,622.1290007088553,559.677733028807,2.167696866581377,1.9500966307623937,574,1181.8067337376624,2.0588967486718857
5,8,cheb_d12,spline_s0.5,spline,7,0.5,,,,6521.284324937008,29825.993129928527,22.72224503462372,103.92332101020392,574,36347.277454865536,63.32278302241382
5,8,cheb_d12,spline_s1,spline,7,1.0,,,,713.5447903627091,1173083.6144877104,2.4862187817516,4087.399353615716,574,1173797.159278073,2044.9427861987338
5,8,cheb_d12,spline_s2,spline,7,2.0,,,,1031.826009984116,1580.873910738439,3.5952125783418674,5.508271465987592,574,2612.699920722555,4.55174202216473
5,16,spline_s2,cheb_d5,chebyshev,5,1.0,,,,2421.8271052407454,4619.014873819019,8.438421969479949,16.09412848020564,574,7040.8419790597645,12.266275224842795
5,16,spline_s2,cheb_d6,chebyshev,6,1.0,,,,2241.3646966675965,5108.300498391231,7.809633089434134,17.798956440387563,574,7349.6651950588275,12.80429476491085
5,16,spline_s2,cheb_d7,chebyshev,7,1.0,,,,2580368.8286163257,9548235.639833476,8990.832155457581,33269.113727642776,574,12128604.468449801,21129.972941550175
5,16,spline_s2,cheb_d8,chebyshev,8,1.0,,,,509748126.86218977,9287936.23803727,1776125.8775686054,32362.147170861568,574,519036063.10022706,904244.0123697335
5,16,spline_s2,cheb_d9,chebyshev,9,1.0,,,,1639387.6263754366,1512.7279482425233,5712.152008276782,5.270829087953043,574,1640900.354323679,2858.711418682368
5,16,spline_s2,cheb_d10,chebyshev,10,1.0,,,,2881.725180999388,84668.12039784025,10.040854289196474,295.01087246634233,574,87549.84557883964,152.5258633777694
5,16,spline_s2,cheb_d11,chebyshev,11,1.0,,,,4397.793826261997,16000760.698410828,15.323323436452952,55751.77943697153,574,16005158.49223709,27883.55138020399
5,16,spline_s2,cheb_d12,chebyshev,12,1.0,,,,3.1563623910855087e+22,4.2027927860729665e+22,1.0997778366151598e+20,1.4643877303390128e+20,574,7.3591551771584756e+22,1.2820827834770863e+20
5,16,spline_s2,bernstein_d5,bernstein,5,1.0,,,,2421.8271052407763,4619.014873818986,8.438421969480057,16.094128480205526,574,7040.841979059763,12.266275224842792
5,16,spline_s2,bernstein_d7,bernstein,7,1.0,,,,2580368.828616584,9548235.639833473,8990.832155458482,33269.11372764276,574,12128604.468450056,21129.972941550623
5,16,spline_s2,bernstein_d9,bernstein,9,1.0,,,,1639387.6263749048,1512.7279482424362,5712.152008274929,5.270829087952739,574,1640900.354323147,2858.711418681441
5,16,spline_s2,bernstein_d12,bernstein,12,1.0,,,,3.1563623910852537e+22,4.2027927860732114e+22,1.099777836615071e+20,1.4643877303390981e+20,574,7.3591551771584655e+22,1.2820827834770847e+20
5,16,spline_s2,spline_s0.5,spline,7,0.5,,,,1.659105769147863e+23,1.6591057691558665e+23,5.7808563384942966e+20,5.780856338522183e+20,574,3.3182115383037295e+23,5.7808563385082393e+20
5,16,spline_s2,spline_s1,spline,7,1.0,,,,1.0639130675662218e+17,1.659105769147863e+23,370701417270460.56,5.7808563384942966e+20,574,1.6591068330609306e+23,2.8904300227542345e+20
5,16,spline_s2,spline_s2,spline,7,2.0,,,,1150.3683255620954,5581.5852126322525,4.008252005442841,19.448032099763946,574,6731.953538194348,11.728142052603394
