label,start,size,candidate,analysis_bins,background_fit_bins,residual_rms,residual_max_abs,fixed_omega_amplitude,fixed_omega_phase,fixed_omega_delta_chi2,phase_offset_from_prediction,locked_signed_amplitude,locked_delta_chi2,locked_local_p_one_sided,positive_sign
G1,273,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,277,1.7097600434337392,8.27216765676783,0.9456146327907053,-0.130889156059746,117.59487676249955,0.1005025292334719,0.9342073158497326,116.25895266540545,2.0855835437584188e-27,True
G1,274,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,275,1.710258756712055,8.350134675575967,0.9466119235019534,-0.1372084404558795,117.84470316337706,0.09418324483733842,0.9361658503474158,116.6679827633019,1.6969059026638027e-27,True
G1,275,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,276,1.7000846054685659,8.32232576228978,0.9348018602188455,-0.12931004424757928,114.73761241065358,0.10208164104563863,0.9232115892072026,113.38965363161776,8.86387845886614e-27,True
G1,276,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,275,1.7103438777258213,8.345138488754799,0.9472169584132776,-0.13833566890194507,117.85262210733958,0.09305601639127284,0.9368660321279292,116.70143809577894,1.6685214408413523e-27,True
G1,277,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,275,1.7105529403688762,8.342027287377196,0.9479934322844631,-0.13881671205744828,117.98271386537806,0.09257497323576964,0.937662012580321,116.84115739368644,1.5550221559255613e-27,True
G1,278,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,276,1.700244744409949,8.32232576228978,0.9332267560734218,-0.13373181298251358,114.20677999635791,0.09765987231070433,0.9222134907673991,112.97576890008077,1.0921400470346603e-26,True
G1,279,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,277,1.7099822093744454,8.261090551035025,0.9496143055949099,-0.13187396874317267,118.17455330728785,0.09951771655004524,0.9380467993100056,116.85095412769499,1.5473599084360301e-27,True
G1,280,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,275,1.7051074682298717,8.341522909183917,0.9404229614544517,-0.1391400485662649,115.96046141304203,0.092251636726953,0.9300585078043718,114.84442695000587,4.256004227702208e-27,True
G1,281,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,276,1.7270260205993757,8.473990523532976,0.9415523178509425,-0.1569738329997133,116.47534942432333,0.07441785229350462,0.933754440858144,115.74666977702066,2.7002967600731564e-27,True
G1,282,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,275,1.7090747713330003,8.330606169706039,0.9473596996119714,-0.13960550330976287,117.64260588906905,0.09178618198345503,0.9368723219588982,116.5216207578477,1.8268713498503694e-27,True
G1,283,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,275,1.7077459678733917,8.328169233221457,0.9455323007424403,-0.1399819106926822,117.19394186438706,0.0914097746005357,0.935066791379159,116.08664328775751,2.2748923669223345e-27,True
G1,284,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,275,1.7057106998615768,8.324961334248954,0.9429850174608043,-0.14069421253679074,116.58654542835063,0.09069747275642717,0.9326055894867566,115.50259287860433,3.0539568711957033e-27,True
G1,285,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,277,1.7103004167654394,8.25315682387382,0.9533560430671569,-0.12946414367074688,119.01925658578568,0.10192754162247103,0.9409655774073465,117.62153122219831,1.049201103028559e-27,True
G1,286,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,277,1.7099679752727732,8.251907205344429,0.9521444764811962,-0.12935128548899155,118.75224921579672,0.10204039980422636,0.9397012678484683,117.35563133044093,1.199724652686199e-27,True
G1,287,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,276,1.7270262733920034,8.471712026273913,0.9418286338331956,-0.15384841018158502,116.6192618271632,0.07754327511163289,0.9333324606351359,115.82935631079579,2.590024326429427e-27,True
