mass_low,mass_high,mass_center,count,background,residual,analysis_mask,background_fit_mask
9.368003377991735547e+00,9.478234968778002312e+00,9.422957985946435855e+00,2.110000000000000000e+02,2.970775958483131518e+01,3.326168648442841658e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.478234968778002312e+00,9.589763634631067291e+00,9.533836217602850382e+00,1.330000000000000000e+02,3.019327234164834906e+01,1.870968361715865313e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.589763634631067291e+00,9.702604637997175985e+00,9.646019133231492404e+00,6.500000000000000000e+01,3.069180966387998666e+01,6.192792987681016825e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.702604637997175985e+00,9.816773420912999981e+00,9.759522084811216303e+00,4.900000000000000000e+01,3.120345957683134230e+01,3.185915197457197312e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.816773420912999981e+00,9.932285607118846116e+00,9.874360604964810051e+00,7.500000000000000000e+01,3.172830827195404169e+01,7.682108137669599657e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.932285607118846116e+00,1.004915700419673286e+01,9.990550409084614003e+00,1.190000000000000000e+02,3.226643978509686406e+01,1.526903705774805076e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.004915700419673286e+01,1.016740360573361635e+01,1.010810739748312592e+01,1.030000000000000000e+02,3.281793567769507547e+01,1.225097090882155904e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.016740360573361635e+01,1.028704159351008052e+01,1.022704765756892797e+01,7.600000000000000000e+01,3.338287472098028985e+01,7.376023384185752541e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.028704159351008052e+01,1.040808733971477551e+01,1.034738746604820925e+01,1.010000000000000000e+02,3.396133258329349047e+01,1.150357985087458879e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.040808733971477551e+01,1.053055740918491701e+01,1.046914329115220177e+01,5.700000000000000000e+01,3.455338152058465084e+01,3.818613004977864378e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.053055740918491701e+01,1.065446856167314493e+01,1.059233179489081600e+01,4.800000000000000000e+01,3.515909007017623367e+01,2.165593734591504393e+00,0.000000000000000000e+00,0.000000000000000000e+00
